step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
302,1,0.0,-8.409999999999986,302,1.0,516.3,0.0,0.0
516,2,0.0,-7.969999999999995,214,1.0,496.9,0.0,0.0
708,3,0.0,-7.859999999999997,192,1.0,491.4,0.0,0.0
1015,4,100.0,-8.434999999999985,307,1.0,489.8,0.0,0.0
1239,5,0.0,-8.019999999999994,224,1.0,488.3,0.0,0.0
1467,6,0.0,-8.039999999999994,228,1.0,486.9,0.0,0.0
1717,7,0.0,-8.149999999999991,250,1.0,487.0,0.0,0.0
1967,8,0.0,-8.149999999999991,250,1.0,484.8,0.0,0.0
2331,9,0.0,-8.719999999999981,364,1.0,486.3,0.0,0.0
2696,10,200.0,-8.724999999999977,365,1.0,487.6,0.0,0.0
2959,11,0.0,-8.21499999999999,263,1.0,487.3,0.0,0.0
3243,12,0.0,-8.319999999999984,284,1.0,486.9,0.0,0.0
3568,13,0.0,-8.524999999999991,325,1.0,487.5,0.0,0.0
3776,14,0.0,-7.940000000000003,208,1.0,487.4,0.0,0.0
4183,15,0.0,-8.934999999999977,407,1.0,488.5,0.0,0.0
4622,16,200.0,-9.094999999999978,439,1.0,489.5,0.0,0.0
4909,17,0.0,-8.334999999999987,287,1.0,489.4,0.0,0.0
5114,18,0.0,-7.9250000000000025,205,1.0,488.7,0.0,0.0
5387,19,0.0,-8.264999999999985,273,1.0,488.6,0.0,0.0
5727,20,0.0,-8.59999999999998,340,1.0,488.7,0.0,0.0
5997,21,0.0,-8.24999999999999,270,1.0,488.7,0.0,0.0
6440,22,100.0,-9.114999999999975,443,1.0,489.2,0.0,0.0
6848,23,300.0,-8.939999999999973,408,1.0,489.4,0.0,0.0
7131,24,400.0,-8.314999999999989,283,1.0,489.5,0.0,0.0
7346,25,0.0,-7.974999999999996,215,1.0,489.4,0.0,0.0
7612,26,0.0,-8.22999999999999,266,1.0,489.1,0.0,0.0
7885,27,0.0,-8.26499999999999,273,1.0,489.1,0.0,0.0
8156,28,0.0,-8.254999999999995,271,1.0,489.2,0.0,0.0
8495,29,400.0,-8.594999999999992,339,1.0,489.3,0.0,0.0
8683,30,0.0,-7.839999999999997,188,1.0,488.8,0.0,0.0
8972,31,400.0,-8.344999999999986,289,1.0,488.8,0.0,0.0
9272,32,100.0,-8.399999999999988,300,1.0,488.8,0.0,0.0
9567,33,0.0,-8.374999999999986,295,1.0,488.8,0.0,0.0
9802,34,0.0,-8.075,235,1.0,488.5,0.0,0.0
10015,35,0.0,-7.964999999999995,213,1.0,488.3,0.0,0.0
10232,36,0.0,-7.984999999999995,217,1.0,487.9,0.0,0.0
10567,37,0.0,-8.574999999999987,335,1.0,488.0,0.0,0.0
10839,38,100.0,-8.259999999999987,272,1.0,487.8,0.0,0.0
11148,39,200.0,-8.444999999999986,309,1.0,487.8,0.0,0.0
11439,40,0.0,-8.354999999999983,291,1.0,487.9,0.0,0.0
11773,41,0.0,-8.569999999999983,334,1.0,487.8,0.0,0.0
11986,42,0.0,-7.9649999999999945,213,1.0,487.6,0.0,0.0
12288,43,300.0,-8.409999999999982,302,1.0,487.8,0.0,0.0
12556,44,0.0,-8.239999999999986,268,1.0,487.6,0.0,0.0
12838,45,0.0,-8.309999999999993,282,1.0,487.7,0.0,0.0
