step,episode,episode_reward,episode_shaped_reward,episode_length,epsilon,fps,avg_loss,avg_q
3872,10,30.0,-1.7,258.4,0.0,212.9,0.0,0.0
6408,20,80.0,-1.7,284.5,0.0,262.1,0.0,0.0
9640,30,80.0,-1.7,294.0,0.0,300.9,0.0,0.0
11896,40,60.0,-1.72,254.1,0.0,316.4,0.0,0.0
14256,50,90.0,-1.6900000000000002,298.4,0.0,326.6,0.0,0.0
18552,60,150.0,-1.6300000000000001,331.4,0.0,338.8,0.0,0.0
21368,70,110.0,-1.6199999999999999,280.3,0.0,349.8,0.0,0.0
23944,80,240.0,-1.49,318.1,0.0,354.5,0.0,0.0
27008,90,110.0,-1.67,278.0,0.0,361.5,0.0,0.0
29648,100,80.0,-1.7,273.7,0.0,367.5,0.0,0.0
32144,110,130.0,-1.65,270.2,0.0,370.0,0.0,0.0
35960,120,160.0,-1.5699999999999998,295.8,0.0,374.7,0.0,0.0
39040,130,170.0,-1.56,324.1,0.0,378.1,0.0,0.0
41728,140,280.0,-1.2999999999999998,328.0,0.0,381.9,0.0,0.0
45312,150,120.0,-1.4600000000000002,298.4,0.0,384.0,0.0,0.0
48432,160,210.0,-1.1199999999999999,335.6,0.0,386.0,0.0,0.0
51384,170,290.0,-0.9400000000000001,329.6,0.0,387.9,0.0,0.0
54744,180,200.0,-0.9799999999999999,320.5,0.0,390.5,0.0,0.0
58048,190,370.0,-0.7600000000000001,314.3,0.0,392.6,0.0,0.0
61608,200,280.0,-0.9,329.1,0.0,393.4,0.0,0.0
64432,210,280.0,-0.55,328.3,0.0,395.9,0.0,0.0
67608,220,150.0,-0.6800000000000002,311.0,0.0,395.8,0.0,0.0
71160,230,300.0,-0.27999999999999997,321.8,0.0,398.0,0.0,0.0
74632,240,270.0,-0.41,325.7,0.0,399.7,0.0,0.0
77592,250,380.0,-0.3,320.1,0.0,400.2,0.0,0.0
80544,260,380.0,-2.2204460492503132e-17,321.7,0.0,401.0,0.0,0.0
83504,270,170.0,-0.16,314.4,0.0,401.6,0.0,0.0
87352,280,300.0,-0.12999999999999998,331.0,0.0,402.5,0.0,0.0
90688,290,340.0,-0.23999999999999994,319.5,0.0,403.5,0.0,0.0
93304,300,210.0,-0.22000000000000003,328.4,0.0,403.4,0.0,0.0
96080,310,170.0,-0.11000000000000001,281.9,0.0,404.6,0.0,0.0
99440,320,130.0,-0.15,288.9,0.0,404.5,0.0,0.0
102368,330,190.0,0.51,319.0,0.0,344.5,0.0,0.0
105528,340,190.0,0.51,314.3,0.0,345.7,0.0,0.0
108096,350,140.0,0.06,266.3,0.0,347.2,0.0,0.0
111960,360,170.0,0.33999999999999997,326.6,0.0,349.0,0.0,0.0
114464,370,200.0,0.32,315.2,0.0,350.5,0.0,0.0
117680,380,170.0,0.33999999999999997,300.8,0.0,352.2,0.0,0.0
120576,390,140.0,0.31000000000000005,316.2,0.0,353.4,0.0,0.0
123720,400,240.0,0.36,304.9,0.0,354.7,0.0,0.0
127272,410,160.0,0.6799999999999999,329.2,0.0,355.7,0.0,0.0
129912,420,90.0,0.76,313.1,0.0,356.9,0.0,0.0
134024,430,170.0,0.33999999999999997,292.4,0.0,358.3,0.0,0.0
136848,440,180.0,0.9,359.4,0.0,359.2,0.0,0.0
139760,450,160.0,0.8800000000000001,327.3,0.0,360.1,0.0,0.0
143592,460,290.0,1.4600000000000002,363.3,0.0,361.3,0.0,0.0
146936,470,160.0,0.93,331.8,0.0,362.6,0.0,0.0
150520,480,340.0,0.96,319.5,0.0,364.0,0.0,0.0
153512,490,100.0,0.67,329.9,0.0,364.7,0.0,0.0
156960,500,280.0,0.9,318.5,0.0,365.3,0.0,0.0
