Episode,DQN_Reward,PPO_Reward
1,16100.0,5800.0
2,27500.0,19000.0
3,16100.0,5800.0
4,16100.0,5800.0
5,27500.0,19000.0
6,27500.0,19000.0
7,16100.0,5800.0
8,26800.0,8800.0
9,16800.0,10000.0
10,27500.0,19000.0
11,27500.0,19000.0
12,27500.0,19000.0
13,16800.0,10000.0
14,16100.0,5800.0
15,16800.0,10000.0
16,16100.0,5800.0
17,26800.0,8800.0
18,26800.0,8800.0
19,26800.0,8800.0
20,16100.0,5800.0
21,26800.0,8800.0
22,16800.0,10000.0
23,26800.0,8800.0
24,27500.0,19000.0
25,16100.0,5800.0
26,16100.0,5800.0
27,16100.0,5800.0
28,16100.0,5800.0
29,26800.0,8800.0
30,26800.0,8800.0
31,27500.0,19000.0
32,27500.0,19000.0
33,26800.0,8800.0
34,26800.0,8800.0
35,16100.0,5800.0
36,26800.0,8800.0
37,27500.0,19000.0
38,16100.0,5800.0
39,16100.0,5800.0
40,16100.0,5800.0
41,26800.0,8800.0
42,16100.0,5800.0
43,16100.0,5800.0
44,26800.0,8800.0
45,16100.0,5800.0
46,27500.0,19000.0
47,26800.0,8800.0
48,16800.0,10000.0
49,16800.0,10000.0
50,27500.0,19000.0
